Activity ID,Date,Name,Type,Average Speed (km/h),Kilojoules,Distance (km),Moving Time (minutes),Kilojoules/Hour,Max HR (in-race),Variability,Power/HR,Efficiency Factor,Incident,Power/Weight (W/kg),Avg Resting HR (7-day pre-race),Avg HRV (7-day pre-race),"Avg Sleep (hours, 7-day pre-race)",Avg Resting HR (14-day pre-race),Avg HRV (14-day pre-race),"Avg Sleep (hours, 14-day pre-race)","Fitness (CTL, day pre-race)","Fatigue (ATL, day pre-race)","Form (Ramp Rate, day pre-race)",Normalized Speed,Normalized Efficiency Factor,Normalized Kilojoules/Hour,Normalized Power/Weight,Performance Score,Xert_Max_Power,Xert_Avg_Power,Xert_Max_HR,Xert_Avg_HR,Xert_Duration_Min
i42300375,2024-06-16,Kawasaki Ward Cycling,Ride,40.53,1566886,81.24,120.27,781705.88,176,1.124424,1.4276316,1.6052631,,3.32,46.12,38.62,4.6,48.13,34.4,3.64,117.562164,93.89271,-2.3056183,0.9044512663085188,0.3294094301157854,0.4857458439686967,0.4227642276422763,2.142370768035277,469.0,150.5,147.0,126.5,18.6
i42812495,2024-06-22,Shimotsuma City Cycling,Ride,40.71,1211756,70.64,102.9,706563.27,163,1.128866,1.3287672,1.5,,3.0,47.88,32.5,4.84,47.33,34.53,4.61,113.043015,82.40451,-6.243454,0.9113584036838064,0.1440640333111827,0.8567692508614244,0.1626016260162602,2.0747933138726737,858.0,141.3,163.0,131.35000000000002,125.19999999999999
i48463717,2024-09-01,Narita City Cycling,Ride,27.61,396066,18.32,27.78,855331.49,176,1.6385542,1.1608392,1.902098,,3.71,45.62,38.12,5.89,46.4,36.6,4.78,121.35959,104.7172,-3.4620209,0.4086722947045279,0.852071049676245,0.122212761250978,0.7398373983739835,2.122793504005734,832.0,144.10000000000002,176.0,133.5,57.0
i49131928,2024-09-08,Chichibu City Cycling,Ride,38.22,685649,32.32,50.63,812487.29,169,1.2711111,1.5625,1.9861112,,3.91,46.62,34.25,6.42,46.13,36.13,6.05,113.55752,82.4539,-7.8020706,0.8158096699923253,1.0,0.3337598588244238,0.9024390243902438,3.052008553206993,,,,,
i50308973,2024-09-23,Kohoku Ward Cycling,Ride,36.74,2432454,111.74,182.33,800441.9,168,1.1171172,1.4899329,1.6644295,,3.37,47.25,32.75,6.36,47.0,33.33,5.18,103.347336,74.5683,-7.360565,0.7590176515732924,0.4335885763265645,0.393235057185934,0.4634146341463415,2.049255919232132,,,,,
i52845545,2024-10-20,Kawasaki Ward Cycling,Ride,37.27,2159485,95.93,154.32,839631.28,170,1.0600859,1.5430464,1.6357616,,3.32,48.88,32.0,5.84,49.8,29.13,5.32,89.732765,56.06251,-6.417633,0.7793553338449731,0.383110647203684,0.1997339626456494,0.4227642276422763,1.784964171336583,626.0,93.55,156.0,101.95,308.8
i6567314,2022-06-19,Kawasaki Ward Cycling,Ride,37.78,1608093,77.2,122.53,787423.12,172,1.0684931,1.3272728,1.4181818,,3.12,48.62,27.5,6.9,48.67,30.87,7.16,87.49033,69.67076,-2.20607,0.7989255564082886,0.0,0.4575164563705899,0.2601626016260164,1.5166046144048948,837.0,85.65,149.0,114.25,12.9
i6867055,2022-07-02,Kohoku Ward Road Cycling,Ride,34.52,2138956,105.28,182.58,702897.45,162,1.1179488,1.3175676,1.472973,,2.8,47.88,32.88,6.46,47.8,32.67,6.49,88.9716,79.680336,-1.2954025,0.6738296239447429,0.096475371762758,0.8748695673856378,0.0,1.6451745630931387,,,,,
i83150165,2025-06-15,Kawasaki Ward Road Cycling,Ride,36.35,849260,38.38,63.07,807964.06,196,1.1210762,1.4575163,1.633987,,3.27,47.62,36.0,6.07,48.0,33.6,5.29,107.52849,68.86407,-11.848907,0.7440521872601688,0.3799859630439982,0.356093714472496,0.3821138211382114,1.8622456859148744,,,,,
i9505847,2022-10-16,Kawasaki Ward Cycling,Ride,39.96,1613330,80.88,121.43,797143.56,168,1.0904977,1.4444444,1.5751634,,3.27,47.62,28.12,6.85,47.33,32.2,7.02,112.483154,85.930084,-7.698532,0.8825786646201074,0.276410412984431,0.4095209081018198,0.3821138211382114,1.9506238068445696,979.0,167.76666666666668,168.0,134.4,321.0
